#tktwine128_kb 27 Rounds
connection relations
k_1_28, k_0_1, k_0_0
k_1_0, k_0_4, k_0_16
k_1_19, k_0_23, k_0_30
k_1_31, k_0_0
k_7_2, k_6_6
k_7_3, k_6_7
k_7_4, k_6_8
k_7_5, k_6_9
k_7_6, k_6_10
k_7_7, k_6_11
k_7_8, k_6_12
k_7_9, k_6_13
k_7_10, k_6_14
k_7_11, k_6_15
k_7_12, k_6_16
k_7_13, k_6_17
k_7_14, k_6_18
k_7_15, k_6_19
k_7_16, k_6_20
k_7_17, k_6_21
k_7_18, k_6_22
k_7_20, k_6_24
k_7_21, k_6_25
k_7_22, k_6_26
k_7_23, k_6_27
k_7_24, k_6_28
k_7_25, k_6_29
k_7_26, k_6_30
k_7_27, k_6_31
k_8_28, k_7_1, k_7_0
k_8_0, k_7_4, k_7_16
k_8_19, k_7_23, k_7_30
k_8_31, k_7_0
k_8_29, k_7_2
k_8_30, k_7_3
k_8_1, k_7_5
k_8_2, k_7_6
k_8_3, k_7_7
k_8_4, k_7_8
k_8_5, k_7_9
k_8_6, k_7_10
k_8_7, k_7_11
k_8_8, k_7_12
k_8_9, k_7_13
k_8_10, k_7_14
k_8_11, k_7_15
k_8_12, k_7_16
k_8_13, k_7_17
k_8_14, k_7_18
k_8_15, k_7_19
k_8_16, k_7_20
k_8_17, k_7_21
k_8_18, k_7_22
k_8_20, k_7_24
k_8_21, k_7_25
k_8_22, k_7_26
k_8_23, k_7_27
k_8_24, k_7_28
k_8_25, k_7_29
k_8_26, k_7_30
k_8_27, k_7_31
k_9_28, k_8_1, k_8_0
k_9_0, k_8_4, k_8_16
k_9_19, k_8_23, k_8_30
k_9_31, k_8_0
k_9_29, k_8_2
k_9_30, k_8_3
k_9_1, k_8_5
k_9_2, k_8_6
k_9_3, k_8_7
k_9_4, k_8_8
k_9_5, k_8_9
k_9_6, k_8_10
k_9_7, k_8_11
k_9_8, k_8_12
k_9_9, k_8_13
k_9_10, k_8_14
k_9_11, k_8_15
k_9_12, k_8_16
k_9_13, k_8_17
k_9_14, k_8_18
k_9_15, k_8_19
k_9_16, k_8_20
k_9_17, k_8_21
k_9_18, k_8_22
k_9_20, k_8_24
k_9_21, k_8_25
k_9_22, k_8_26
k_9_23, k_8_27
k_9_24, k_8_28
k_9_25, k_8_29
k_9_26, k_8_30
k_9_27, k_8_31
k_10_28, k_9_1, k_9_0
k_10_0, k_9_4, k_9_16
k_10_19, k_9_23, k_9_30
k_10_31, k_9_0
k_10_29, k_9_2
k_10_30, k_9_3
k_10_1, k_9_5
k_10_2, k_9_6
k_10_3, k_9_7
k_10_4, k_9_8
k_10_5, k_9_9
k_10_6, k_9_10
k_10_7, k_9_11
k_10_8, k_9_12
k_10_9, k_9_13
k_10_10, k_9_14
k_10_11, k_9_15
k_10_12, k_9_16
k_10_13, k_9_17
k_10_14, k_9_18
k_10_15, k_9_19
k_10_16, k_9_20
k_10_17, k_9_21
k_10_18, k_9_22
k_10_20, k_9_24
k_10_21, k_9_25
k_10_22, k_9_26
k_10_23, k_9_27
k_10_24, k_9_28
k_10_25, k_9_29
k_10_26, k_9_30
k_10_27, k_9_31
k_11_28, k_10_1, k_10_0
k_11_0, k_10_4, k_10_16
k_11_19, k_10_23, k_10_30
k_11_31, k_10_0
k_11_29, k_10_2
k_11_30, k_10_3
k_11_1, k_10_5
k_11_2, k_10_6
k_11_3, k_10_7
k_11_4, k_10_8
k_11_5, k_10_9
k_11_6, k_10_10
k_11_7, k_10_11
k_11_8, k_10_12
k_11_9, k_10_13
k_11_10, k_10_14
k_11_11, k_10_15
k_11_12, k_10_16
k_11_13, k_10_17
k_11_14, k_10_18
k_11_15, k_10_19
k_11_16, k_10_20
k_11_17, k_10_21
k_11_18, k_10_22
k_11_20, k_10_24
k_11_21, k_10_25
k_11_22, k_10_26
k_11_23, k_10_27
k_11_24, k_10_28
k_11_25, k_10_29
k_11_26, k_10_30
k_11_27, k_10_31
k_12_28, k_11_1, k_11_0
k_12_0, k_11_4, k_11_16
k_12_19, k_11_23, k_11_30
k_12_31, k_11_0
k_12_29, k_11_2
k_12_30, k_11_3
k_12_1, k_11_5
k_12_2, k_11_6
k_12_3, k_11_7
k_12_4, k_11_8
k_12_5, k_11_9
k_12_6, k_11_10
k_12_7, k_11_11
k_12_8, k_11_12
k_12_9, k_11_13
k_12_10, k_11_14
k_12_11, k_11_15
k_12_12, k_11_16
k_12_13, k_11_17
k_12_14, k_11_18
k_12_15, k_11_19
k_12_16, k_11_20
k_12_17, k_11_21
k_12_18, k_11_22
k_12_20, k_11_24
k_12_21, k_11_25
k_12_22, k_11_26
k_12_23, k_11_27
k_12_24, k_11_28
k_12_25, k_11_29
k_12_26, k_11_30
k_12_27, k_11_31
k_13_28, k_12_1, k_12_0
k_13_0, k_12_4, k_12_16
k_13_19, k_12_23, k_12_30
k_13_31, k_12_0
k_13_29, k_12_2
k_13_30, k_12_3
k_13_1, k_12_5
k_13_2, k_12_6
k_13_3, k_12_7
k_13_4, k_12_8
k_13_5, k_12_9
k_13_6, k_12_10
k_13_7, k_12_11
k_13_8, k_12_12
k_13_9, k_12_13
k_13_10, k_12_14
k_13_11, k_12_15
k_13_12, k_12_16
k_13_13, k_12_17
k_13_14, k_12_18
k_13_15, k_12_19
k_13_16, k_12_20
k_13_17, k_12_21
k_13_18, k_12_22
k_13_20, k_12_24
k_13_21, k_12_25
k_13_22, k_12_26
k_13_23, k_12_27
k_13_24, k_12_28
k_13_25, k_12_29
k_13_26, k_12_30
k_13_27, k_12_31
k_14_28, k_13_1, k_13_0
k_14_0, k_13_4, k_13_16
k_14_19, k_13_23, k_13_30
k_14_31, k_13_0
k_14_29, k_13_2
k_14_30, k_13_3
k_14_1, k_13_5
k_14_2, k_13_6
k_14_3, k_13_7
k_14_4, k_13_8
k_14_5, k_13_9
k_14_6, k_13_10
k_14_7, k_13_11
k_14_8, k_13_12
k_14_9, k_13_13
k_14_10, k_13_14
k_14_11, k_13_15
k_14_12, k_13_16
k_14_13, k_13_17
k_14_14, k_13_18
k_14_15, k_13_19
k_14_16, k_13_20
k_14_17, k_13_21
k_14_18, k_13_22
k_14_20, k_13_24
k_14_21, k_13_25
k_14_22, k_13_26
k_14_23, k_13_27
k_14_24, k_13_28
k_14_25, k_13_29
k_14_26, k_13_30
k_14_27, k_13_31
k_15_28, k_14_1, k_14_0
k_15_0, k_14_4, k_14_16
k_15_19, k_14_23, k_14_30
k_15_31, k_14_0
k_15_29, k_14_2
k_15_30, k_14_3
k_15_1, k_14_5
k_15_2, k_14_6
k_15_3, k_14_7
k_15_4, k_14_8
k_15_5, k_14_9
k_15_6, k_14_10
k_15_7, k_14_11
k_15_8, k_14_12
k_15_9, k_14_13
k_15_10, k_14_14
k_15_11, k_14_15
k_15_12, k_14_16
k_15_13, k_14_17
k_15_14, k_14_18
k_15_15, k_14_19
k_15_16, k_14_20
k_15_17, k_14_21
k_15_18, k_14_22
k_15_20, k_14_24
k_15_21, k_14_25
k_15_22, k_14_26
k_15_23, k_14_27
k_15_24, k_14_28
k_15_25, k_14_29
k_15_26, k_14_30
k_15_27, k_14_31
k_16_28, k_15_1, k_15_0
k_16_0, k_15_4, k_15_16
k_16_19, k_15_23, k_15_30
k_16_31, k_15_0
k_16_29, k_15_2
k_16_30, k_15_3
k_16_1, k_15_5
k_16_2, k_15_6
k_16_3, k_15_7
k_16_4, k_15_8
k_16_5, k_15_9
k_16_6, k_15_10
k_16_7, k_15_11
k_16_8, k_15_12
k_16_9, k_15_13
k_16_10, k_15_14
k_16_11, k_15_15
k_16_12, k_15_16
k_16_13, k_15_17
k_16_14, k_15_18
k_16_15, k_15_19
k_16_16, k_15_20
k_16_17, k_15_21
k_16_18, k_15_22
k_16_20, k_15_24
k_16_21, k_15_25
k_16_22, k_15_26
k_16_23, k_15_27
k_16_24, k_15_28
k_16_25, k_15_29
k_16_26, k_15_30
k_16_27, k_15_31
k_17_28, k_16_1, k_16_0
k_17_0, k_16_4, k_16_16
k_17_19, k_16_23, k_16_30
k_17_31, k_16_0
k_17_29, k_16_2
k_17_30, k_16_3
k_17_1, k_16_5
k_17_2, k_16_6
k_17_3, k_16_7
k_17_4, k_16_8
k_17_5, k_16_9
k_17_6, k_16_10
k_17_7, k_16_11
k_17_8, k_16_12
k_17_9, k_16_13
k_17_10, k_16_14
k_17_11, k_16_15
k_17_12, k_16_16
k_17_13, k_16_17
k_17_14, k_16_18
k_17_15, k_16_19
k_17_16, k_16_20
k_17_17, k_16_21
k_17_18, k_16_22
k_17_20, k_16_24
k_17_21, k_16_25
k_17_22, k_16_26
k_17_23, k_16_27
k_17_24, k_16_28
k_17_25, k_16_29
k_17_26, k_16_30
k_17_27, k_16_31
k_18_28, k_17_1, k_17_0
k_18_0, k_17_4, k_17_16
k_18_19, k_17_23, k_17_30
k_18_31, k_17_0
k_18_29, k_17_2
k_18_30, k_17_3
k_18_1, k_17_5
k_18_2, k_17_6
k_18_3, k_17_7
k_18_4, k_17_8
k_18_5, k_17_9
k_18_6, k_17_10
k_18_7, k_17_11
k_18_8, k_17_12
k_18_9, k_17_13
k_18_10, k_17_14
k_18_11, k_17_15
k_18_12, k_17_16
k_18_13, k_17_17
k_18_14, k_17_18
k_18_15, k_17_19
k_18_16, k_17_20
k_18_17, k_17_21
k_18_18, k_17_22
k_18_20, k_17_24
k_18_21, k_17_25
k_18_22, k_17_26
k_18_23, k_17_27
k_18_24, k_17_28
k_18_25, k_17_29
k_18_26, k_17_30
k_18_27, k_17_31
k_19_28, k_18_1, k_18_0
k_19_0, k_18_4, k_18_16
k_19_19, k_18_23, k_18_30
k_19_31, k_18_0
k_19_29, k_18_2
k_19_30, k_18_3
k_19_1, k_18_5
k_19_2, k_18_6
k_19_3, k_18_7
k_19_4, k_18_8
k_19_5, k_18_9
k_19_6, k_18_10
k_19_7, k_18_11
k_19_8, k_18_12
k_19_9, k_18_13
k_19_10, k_18_14
k_19_11, k_18_15
k_19_12, k_18_16
k_19_13, k_18_17
k_19_14, k_18_18
k_19_15, k_18_19
k_19_16, k_18_20
k_19_17, k_18_21
k_19_18, k_18_22
k_19_20, k_18_24
k_19_21, k_18_25
k_19_22, k_18_26
k_19_23, k_18_27
k_19_24, k_18_28
k_19_25, k_18_29
k_19_26, k_18_30
k_19_27, k_18_31
k_20_28, k_19_1, k_19_0
k_20_0, k_19_4, k_19_16
k_20_19, k_19_23, k_19_30
k_20_31, k_19_0
k_20_29, k_19_2
k_20_30, k_19_3
k_20_1, k_19_5
k_20_2, k_19_6
k_20_3, k_19_7
k_20_4, k_19_8
k_20_5, k_19_9
k_20_6, k_19_10
k_20_7, k_19_11
k_20_8, k_19_12
k_20_9, k_19_13
k_20_10, k_19_14
k_20_11, k_19_15
k_20_12, k_19_16
k_20_13, k_19_17
k_20_14, k_19_18
k_20_15, k_19_19
k_20_16, k_19_20
k_20_17, k_19_21
k_20_18, k_19_22
k_20_20, k_19_24
k_20_21, k_19_25
k_20_22, k_19_26
k_20_23, k_19_27
k_20_24, k_19_28
k_20_25, k_19_29
k_20_26, k_19_30
k_20_27, k_19_31
k_21_28, k_20_1, k_20_0
k_21_0, k_20_4, k_20_16
k_21_19, k_20_23, k_20_30
k_21_31, k_20_0
k_21_29, k_20_2
k_21_30, k_20_3
k_21_1, k_20_5
k_21_2, k_20_6
k_21_3, k_20_7
k_21_4, k_20_8
k_21_5, k_20_9
k_21_6, k_20_10
k_21_7, k_20_11
k_21_8, k_20_12
k_21_9, k_20_13
k_21_10, k_20_14
k_21_11, k_20_15
k_21_12, k_20_16
k_21_13, k_20_17
k_21_14, k_20_18
k_21_15, k_20_19
k_21_16, k_20_20
k_21_17, k_20_21
k_21_18, k_20_22
k_21_20, k_20_24
k_21_21, k_20_25
k_21_22, k_20_26
k_21_23, k_20_27
k_21_24, k_20_28
k_21_25, k_20_29
k_21_26, k_20_30
k_21_27, k_20_31
k_22_28, k_21_1, k_21_0
k_22_0, k_21_4, k_21_16
k_22_19, k_21_23, k_21_30
k_22_31, k_21_0
k_22_29, k_21_2
k_22_30, k_21_3
k_22_1, k_21_5
k_22_2, k_21_6
k_22_3, k_21_7
k_22_4, k_21_8
k_22_5, k_21_9
k_22_6, k_21_10
k_22_7, k_21_11
k_22_8, k_21_12
k_22_9, k_21_13
k_22_10, k_21_14
k_22_11, k_21_15
k_22_12, k_21_16
k_22_13, k_21_17
k_22_14, k_21_18
k_22_15, k_21_19
k_22_16, k_21_20
k_22_17, k_21_21
k_22_18, k_21_22
k_22_20, k_21_24
k_22_21, k_21_25
k_22_22, k_21_26
k_22_23, k_21_27
k_22_24, k_21_28
k_22_25, k_21_29
k_22_26, k_21_30
k_22_27, k_21_31
k_23_28, k_22_1, k_22_0
k_23_0, k_22_4, k_22_16
k_23_19, k_22_23, k_22_30
k_23_31, k_22_0
k_23_29, k_22_2
k_23_30, k_22_3
k_23_1, k_22_5
k_23_2, k_22_6
k_23_3, k_22_7
k_23_4, k_22_8
k_23_5, k_22_9
k_23_6, k_22_10
k_23_7, k_22_11
k_23_8, k_22_12
k_23_9, k_22_13
k_23_10, k_22_14
k_23_11, k_22_15
k_23_12, k_22_16
k_23_13, k_22_17
k_23_14, k_22_18
k_23_15, k_22_19
k_23_16, k_22_20
k_23_17, k_22_21
k_23_18, k_22_22
k_23_20, k_22_24
k_23_21, k_22_25
k_23_22, k_22_26
k_23_23, k_22_27
k_23_24, k_22_28
k_23_25, k_22_29
k_23_26, k_22_30
k_23_27, k_22_31
k_24_28, k_23_1, k_23_0
k_24_0, k_23_4, k_23_16
k_24_19, k_23_23, k_23_30
k_24_31, k_23_0
k_24_29, k_23_2
k_24_30, k_23_3
k_24_1, k_23_5
k_24_2, k_23_6
k_24_3, k_23_7
k_24_4, k_23_8
k_24_5, k_23_9
k_24_6, k_23_10
k_24_7, k_23_11
k_24_8, k_23_12
k_24_9, k_23_13
k_24_10, k_23_14
k_24_11, k_23_15
k_24_12, k_23_16
k_24_13, k_23_17
k_24_14, k_23_18
k_24_15, k_23_19
k_24_16, k_23_20
k_24_17, k_23_21
k_24_18, k_23_22
k_24_20, k_23_24
k_24_21, k_23_25
k_24_22, k_23_26
k_24_23, k_23_27
k_24_24, k_23_28
k_24_25, k_23_29
k_24_26, k_23_30
k_24_27, k_23_31
k_25_28, k_24_1, k_24_0
k_25_0, k_24_4, k_24_16
k_25_19, k_24_23, k_24_30
k_25_31, k_24_0
k_25_29, k_24_2
k_25_30, k_24_3
k_25_1, k_24_5
k_25_2, k_24_6
k_25_3, k_24_7
k_25_4, k_24_8
k_25_5, k_24_9
k_25_6, k_24_10
k_25_7, k_24_11
k_25_8, k_24_12
k_25_9, k_24_13
k_25_10, k_24_14
k_25_11, k_24_15
k_25_12, k_24_16
k_25_13, k_24_17
k_25_14, k_24_18
k_25_15, k_24_19
k_25_16, k_24_20
k_25_17, k_24_21
k_25_18, k_24_22
k_25_20, k_24_24
k_25_21, k_24_25
k_25_22, k_24_26
k_25_23, k_24_27
k_25_24, k_24_28
k_25_25, k_24_29
k_25_26, k_24_30
k_25_27, k_24_31
k_26_28, k_25_1, k_25_0
k_26_0, k_25_4, k_25_16
k_26_19, k_25_23, k_25_30
k_26_31, k_25_0
k_26_29, k_25_2
k_26_30, k_25_3
k_26_1, k_25_5
k_26_2, k_25_6
k_26_3, k_25_7
k_26_4, k_25_8
k_26_5, k_25_9
k_26_6, k_25_10
k_26_7, k_25_11
k_26_8, k_25_12
k_26_9, k_25_13
k_26_10, k_25_14
k_26_11, k_25_15
k_26_12, k_25_16
k_26_13, k_25_17
k_26_14, k_25_18
k_26_15, k_25_19
k_26_16, k_25_20
k_26_17, k_25_21
k_26_18, k_25_22
k_26_20, k_25_24
k_26_21, k_25_25
k_26_22, k_25_26
k_26_23, k_25_27
k_26_24, k_25_28
k_26_25, k_25_29
k_26_26, k_25_30
k_26_27, k_25_31
k_27_28, k_26_1, k_26_0
k_27_0, k_26_4, k_26_16
k_27_19, k_26_23, k_26_30
k_27_31, k_26_0
k_27_29, k_26_2
k_27_30, k_26_3
k_27_1, k_26_5
k_27_2, k_26_6
k_27_3, k_26_7
k_27_4, k_26_8
k_27_5, k_26_9
k_27_6, k_26_10
k_27_7, k_26_11
k_27_8, k_26_12
k_27_9, k_26_13
k_27_10, k_26_14
k_27_11, k_26_15
k_27_12, k_26_16
k_27_13, k_26_17
k_27_14, k_26_18
k_27_15, k_26_19
k_27_16, k_26_20
k_27_17, k_26_21
k_27_18, k_26_22
k_27_20, k_26_24
k_27_21, k_26_25
k_27_22, k_26_26
k_27_23, k_26_27
k_27_24, k_26_28
k_27_25, k_26_29
k_27_26, k_26_30
k_27_27, k_26_31
target
k_0_2
k_0_3
k_0_12
k_0_15
k_0_17
k_0_18
k_0_28
k_0_31
k_1_2
k_1_3
k_1_12
k_1_15
k_1_17
k_1_18
k_1_28
k_1_31
k_2_2
k_2_3
k_2_12
k_2_15
k_2_18
k_2_28
k_2_31
k_3_12
k_3_17
k_3_18
k_3_28
k_4_15
k_4_18
k_5_3
k_24_31
k_25_18
k_25_31
k_26_2
k_26_17
k_26_18
k_26_31
end
